id,name,age,email,salary,is_active,start_date,last_login,rating,tags
1,Donna,38,gonzalescarl@martinez.net,101883.47,False,2024-11-10,2025-04-05 23:07:55,1.5,"['java', 'spark']"
2,Desiree,58,ldavis@howard-garcia.biz,55177.73,True,2022-03-29,2024-01-17 03:55:24,2.1,"['ml', 'react']"
3,Nicholas,34,rgibson@schroeder.biz,81816.49,False,2023-10-17,2024-07-14 03:08:32,1.6,"['sql', 'spark']"
4,Jennifer,28,gcarroll@curtis.info,99348.07,False,2021-02-27,2023-07-28 19:14:48,4.5,"['sql', 'python']"
5,Michael,37,thomassherman@hotmail.com,87295.57,False,2025-03-16,2024-07-30 20:01:54,1.9,"['java', 'ml']"
6,Brandon,41,heatherruiz@gmail.com,45873.13,False,2020-11-22,2025-01-31 16:30:05,2.8,"['react', 'spark']"
7,Christina,45,ataylor@ortega.com,43320.32,True,2024-09-04,2024-09-13 01:26:03,4.1,"['data', 'spark']"
8,Tommy,28,michelle75@hotmail.com,65857.34,False,2021-07-21,2024-09-27 19:52:14,4.7,"['data', 'java']"
9,Morgan,55,evanreilly@yahoo.com,106041.55,False,2020-08-22,2023-09-15 15:08:40,3.6,"['python', 'cloud']"
10,Angela,40,davidmoore@kennedy-martinez.com,111832.97,True,2022-06-15,2024-12-02 05:48:17,3.2,"['sql', 'python']"
11,Travis,24,nwalker@spencer-johnson.com,109873.67,True,2020-05-18,2023-06-11 13:34:50,2.5,"['spark', 'cloud']"
12,Nancy,51,alexanderkaren@phillips.com,114928.16,True,2023-06-23,2024-10-07 15:25:33,3.7,"['java', 'sql']"
13,Derek,46,bakercrystal@kelly.org,63594.47,True,2021-09-05,2023-08-21 01:49:00,1.2,"['react', 'data']"
14,Amanda,26,jacquelinecalhoun@yahoo.com,94550.95,False,2022-11-12,2024-02-10 23:41:07,4.3,"['python', 'ml']"
